displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Horned Lark,Horned Lark,Eremophila alpestris,horlar,species,horlar,species,True
Greater Short-toed Lark,Greater Short-toed Lark,Calandrella brachydactyla,gstlar1,species,gstlar1,species,True
Calandra Lark,Calandra Lark,Melanocorypha calandra,callar1,species,callar1,species,True
Dupont's Lark,Dupont's Lark,Chersophilus duponti,duplar1,species,duplar1,species,True
Lesser Short-toed Lark,Lesser Short-toed Lark,Alaudala rufescens,lstlar3,species,lstlar3,species,True
Greater/Asian/Lesser Short-toed Lark,Greater/Asian/Lesser Short-toed Lark,Calandrella brachydactyla/Alaudala cheleensis/rufescens,y00675,slash,y00675,slash,False
Wood Lark,Wood Lark,Lullula arborea,woolar1,species,woolar1,species,True
Eurasian Skylark,Eurasian Skylark,Alauda arvensis,skylar,species,skylar,species,True
Thekla's Lark,Thekla's Lark,Galerida theklae,thelar1,species,thelar1,species,True
Crested Lark,Crested Lark,Galerida cristata,crelar2,species,crelar2,species,True
